placeId,fix,field,before,after,reason
P007,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 동행보조 필요+휠체어 접근 가능
P007,FIX83,mobilityCaveat,휠체어로 이동하실 수 있습니다.,휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와 함께 오시길 권해 드립니다.,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P014,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 포장도로+휠체어 접근 가능+동행보조 필요
P014,FIX83,mobilityCaveat,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다.,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P030,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 휠체어 접근 가능+동행보조 필요
P030,FIX83,mobilityCaveat,휠체어로 이동하실 수 있습니다.,휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와 함께 오시길 권해 드립니다.,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P042,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 야외구간 동행보조 필요+휠체어 접근 가능
P042,FIX83,mobilityCaveat,휠체어로 이동하실 수 있습니다.,휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와 함께 오시길 권해 드립니다.,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P078,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 동행보조 필요+휠체어 접근 가능
P078,FIX83,mobilityCaveat,휠체어로 이동하실 수 있습니다.,휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와 함께 오시길 권해 드립니다.,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P081,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 포장도로+선박 승하선 보조 필요+휠체어 접근 가능
P081,FIX83,mobilityCaveat,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다.,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P100,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 레일바이크 탑승 보조 필요+휠체어 접근 가능
P100,FIX83,mobilityCaveat,휠체어로 이동하실 수 있습니다.,휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와 함께 오시길 권해 드립니다.,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P103,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 포장도로+선박 승하선 보조 필요+휠체어 접근 가능
P103,FIX83,mobilityCaveat,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다.,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P112,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 포장도로+선박 승하선 보조 필요+휠체어 접근 가능
P112,FIX83,mobilityCaveat,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다.,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P133,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 포장도로+선박 승하선 보조 필요+휠체어 접근 가능
P133,FIX83,mobilityCaveat,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다.,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다. 이동에 도움이 필요할 수 있으니 동행자와,FIX74 자동생성 시 누락된 동행 필요 안내 복원
P141,FIX83,companionRequired,UNKNOWN,Y,routeCondition 에 보조 필요 명시 — 포장도로+초지/목장길+휠체어 접근 가능+동행보조 필요
