placeId,fix,field,before,after,reason
P884,FIX47,wheelchairSection,전 구간 (상동포구~가파포구),상동포구~휠체어 올레길 종점,두리함께 2021 무장애 지도 — 올레 10-1에 휠체어 올레길 종점이 별도 표시됨
P884,FIX47,wheelchairSectionDist,4.2km,(공백),지도에 휠체어 구간 거리 미표기 — 4.2km는 코스 전체 길이이므로 사용 불가. 추정하지 않음
P884,FIX47,wheelchairCaveat,코스 자체는 전 구간 통행 가능. 제약은 가파도행 여객선 승하선 — 전동휠체어 선적 불가,종점 부근에 6~7도 오르막 55m 구간이 있습니다. 코스 전체(가파포구까지)를 이어서 가시기는 어렵습니다,지도 경사 표시 반영
P884,FIX47,mobilityCaveat,"가파도 4.2km 순환 코스는 완만한 경사로 전 구간 휠체어 통행이 가능하고, 섬 안에 장애인 전용주차 2면과 장애인 화장실이",올레 10-1코스는 상동포구에서 '휠체어 올레길 종점'까지 휠체어로 이동하실 수 있습니다. 종점 부근에 6~7도 오르막 55m,구간 한정으로 정정 + 대체 경로(순환 코스) 안내 추가
P884,FIX47,verifyNote,제주올레 공식 코스정보로 확인(2026-08) — 전 구간 휠체어 이용 가능. 제주올레 공식 휠체어 코스 10개 중 유일한 ',제주올레 공식 코스정보로 확인(2026-08) — 전 구간 휠체어 이용 가능. 제주올레 공식 휠체어 코스 10개 중 유일한 ',자료 불일치 및 실측 우선 판단 기록
P884,FIX47,correctionHistory,"nan | FIX28: Activity 축 모순 해소 | FIX37: 난이도 오기재 정정, UNAVAILABLE→CONDITI","nan | FIX28: Activity 축 모순 해소 | FIX37: 난이도 오기재 정정, UNAVAILABLE→CONDITI",이력
P915,FIX47,wheelchairSection,(공백),전 구간 순환 (터미널 출발·도착),"두리함께 2021 무장애 추천 코스 — 해안 순환로, 올레 10-1과 별개 경로"
P915,FIX47,wheelchairSectionDist,(공백),5.2km,지도 명시
P915,FIX47,wheelchairDifficulty,(공백),LOW,지도상 경사 표시 없음
P915,FIX47,mobilityCaveat,"가파도는 섬 안이 대체로 평탄해 휠체어로 둘러보실 수 있고, 무장애 추천 코스가 총 5.2km 13개 지점으로 안내되어 있습니",가파도에는 휠체어로 섬을 한 바퀴 돌 수 있는 무장애 추천 코스가 있습니다. 터미널에서 출발해 해안을 따라 13개 지점을 지나,무장애 순환 코스 등재 및 올레 10-1과의 구분 명시
P915,FIX47,verifyNote,검증완료(2026-07) ※ 2022-10 시점 기록 — 이후 항만·선박 개선 여부 미확인. 재확인 필요. ※ 기존 '접이식 ,검증완료(2026-07) ※ 2022-10 시점 기록 — 이후 항만·선박 개선 여부 미확인. 재확인 필요. ※ 기존 '접이식 ,등재 근거 및 미확정 사항 기록
P915,FIX47,correctionHistory,"FIX20: FULL 재점검 — 구간편차 기준 일괄 적용 | FIX44: 여객선 승하선 실태 반영, 자력 승선 오해 문구 정정","FIX20: FULL 재점검 — 구간편차 기준 일괄 적용 | FIX44: 여객선 승하선 실태 반영, 자력 승선 오해 문구 정정",이력
