placeId,fix,field,before,after,reason
P067,FIX85,mobilityCaveat,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다.,2016년에 조성된 무장애 나눔길이 5개 코스 약 7km에 걸쳐 있습니다. 산울림길과 만남의 길은 데크로드라,무장애 나눔길·코스별 가부·경사도 반영
P067,FIX85,routeCondition,데크길+휠체어 접근 가능,무장애 나눔길 5개 코스 약7km 데크로드+산울림길·만남의길 휠체어 이동 용이+주차구역~매표소 40m 인도·,코스별 실제 조건 반영
P067,FIX85,toiletScopeDesc,관람 구간 내 이용 가능,화장실 접근 경사로가 설치돼 있고 장애인 화장실 내부가 넓어 전동휠체어도 이용하실 수 있습니다. 다만 입구가,이지제주 이용자 기록 반영
P067,FIX85,companionRequired,UNKNOWN,Y,"8~10도 경사 반복 구간, 폭 좁아지는 구간 존재"
P067,FIX85,accessVerdictReason,시설접근 기준 판정 — 활동참여 개별 근거 미확보,시설접근 가능 / 활동참여 조건부 — 무장애 나눔길 데크로드는 이동 가능하나 일부 코스 8~10도 경사·폭 ,판정 근거
P067,FIX85,verifyNote,※ FIX74: mobilityCaveat 은 routeCondition 태그에서 자동 생성된 일반 문장입니,"한국관광공사 대한민국 구석구석 — 2012-03 착공, 2016-08 완공. 건강산책로·만남의길·생이소리길·",출처별 근거 기록
P067,FIX85,correctionHistory,(공백), | FIX85: 무장애 나눔길·코스별 가부 반영,이력
P013,FIX85,mobilityCaveat,비포장 구간이 있습니다. 방문 전 이동 경로를 확인해 주세요.,무장애 나눔길이 조성되어 있어 휠체어와 유모차로 다니실 수 있습니다. 삼나무길 쉼터부터 호끌락 공연장까지 데,무장애 나눔길·대여 서비스·경사도 반영
P013,FIX85,routeCondition,포장도로+비포장,무장애 나눔길 데크길+점자 안내판+쉼팡 다수+3~6도 내리막 구간+안내센터 장애인화장실+수동휠체어 2대·유모,무장애 나눔길 상세 반영
P013,FIX85,toiletScopeDesc,관람 구간 내 이용 가능,사려니숲길 안내센터에 일반 화장실과 장애인 화장실이 잘 갖춰져 있습니다,안내센터 화장실 등재
P013,FIX85,sensoryAccessNote,(공백),무장애 나눔길 입구와 하늘보기쉼팡에 점자 안내판이 설치되어 있습니다,점자 안내판 위치 등재
P013,FIX85,accessVerdictReason,시설접근 기준 판정 — 활동참여 개별 근거 미확보,"시설접근 가능 / 활동참여 조건부 — 무장애 나눔길 구간은 휠체어·유모차 이동 가능, 나눔길을 벗어난 구간은",판정 근거
P013,FIX85,verifyNote,※ FIX74: mobilityCaveat 은 routeCondition 태그에서 자동 생성된 일반 문장입니,제주관광정보 무장애여행(tour.jejudsi.kr) — 무장애 나눔길 코스: 안내도→점자 안내판→삼나무길 ,무장애 나눔길 근거
P013,FIX85,correctionHistory,(공백), | FIX85: 무장애 나눔길·휠체어 대여 반영,이력
P062,FIX85,mobilityCaveat,포장된 길로 이동하실 수 있습니다. 휠체어로 이동하실 수 있습니다.,넓은 주차장과 완만한 경사로가 있고 대부분 평지로 이루어져 휠체어로 이동하기 좋습니다. 주요 전시관도 휠체어,무장애 관광지 상세 반영
P062,FIX85,routeCondition,포장도로+휠체어 접근 가능,넓은 주차장+완만한 경사로+대부분 평지+주요 전시관 휠체어 진입 가능+돌박물관 엘리베이터·경사로 연계+장애인,무장애 조건 반영
P062,FIX85,toiletScopeDesc,관람 구간 내 이용 가능,①매표소 건물 옆 ②제주돌박물관 실내(지하 경사로를 내려가 입구 왼쪽). 남녀 분리형으로 회전 공간이 넓습니,화장실 위치 등재
P062,FIX85,verifyNote,검증완료(2026-07) ※ FIX74: mobilityCaveat 은 routeCondition 태그에서 ,"휠내비길 「휠내비길」 서비스 개시 행사가 2022년 제주돌문화공원에서 열렸고, 제1코스(신화의 정원) — 전",근거 및 미확인 사항
P062,FIX85,correctionHistory,FIX14: POPULAR FULL 외부·서술 검증 하향,FIX14: POPULAR FULL 외부·서술 검증 하향 | FIX85: 무장애 관광지 상세 반영,이력
