placeId,fix,field,before,after,reason
P005,FIX76,mobilityCaveat,"정상 탐방로는 계단과 오르막이 이어져 휠체어로 오르실 수 없습니다. 주차장과 매표소 주변, 일부 무료 탐방구간은 접근하실 수 ",정상 탐방로는 계단과 오르막으로 인해 휠체어 이용이 어렵습니다. 일부 하부 탐방구간은 이용 가능하나 방문 전 이동 경로를 확인,"현재 공식 페이지 확인 사항만 서술 — ""정상 외 모든 구간"" 같은 단정 제거"
P005,FIX76,verifyNote,검증완료(2026-07) [FIX65] 한국관광공사 무장애 API(detailWithTour2) — brailepromotio,"비짓제주 현재 페이지 — 정상 유료 탐방로는 계단과 오르막이 이어지며 접근 난이도 ""아주 어려움"". 한국관광공사 열린관광 현재",근거 시점 명시
P004,FIX76,mobilityCaveat,"일부 이동 구간에 5~7도 오르막과 좁은 보행로, 배수로와 바닥 요철이 있고 화장실 접근로에도 단차가 있습니다. 모래사장은 일","일부 이동 구간에 경사, 배수로 및 바닥 요철이 있어 이동 시 주의가 필요합니다. 모래사장 등은 휠체어 이동에 제약이 있을 수",2023년 조사 기반 구체 수치 제거 — 시점 미표시 상태로 현재 사실처럼 읽히던 문제
P004,FIX76,routeCondition,주차장~해안도로 5~7도 오르막+보행로 폭 협소+배수로+바닥 요철+화장실 접근로 단차+나무데크·포장 보행로 병존+모래사장 휠체,일부 구간 경사+배수로+바닥 요철+모래사장 휠체어 이동 제약+해변 접근로 일부 완만한 경사·평지,"""비포장+자갈길"" 은 현재 확인 가능한 공식 근거로 뒷받침되지 않아 제거"
P004,FIX76,accessVerdictReason,시설접근 조건부 — 접근 가능 동선은 있으나 경사·요철·배수로·단차 제약. 모래사장은 일반 휠체어 이동 불가,시설접근 조건부 — 접근 가능 동선은 있으나 경사·배수로·요철 제약. 모래사장은 휠체어 이동 제약,판정 근거
P004,FIX76,verifyNote,"※ FIX75: 제주관광약자접근성안내센터 현장조사 — 주차장→해안도로 5~7도 오르막, 보행로 폭 협소, 배수로, 바닥 요철,","제주관광약자접근성안내센터 — 2023-09-12 조사 정보이며 페이지에 ""이후 변동될 수 있음"" 명시. 당시 확인: 배수로 장",근거 시점·출처별 구분 명시
P005,FIX76,sourceDate,2024~2026 (주 조사 2026-06),2026-08 확인 (조사 시점은 verifyNote 참조),근거 확인 시점과 조사 시점 구분
P005,FIX76,correctionHistory,FIX65: visualAccess UNKNOWN→FULL (KTO API) | FIX75: 현장조사 근거로 안내문구 확정 (,FIX65: visualAccess UNKNOWN→FULL (KTO API) | FIX75: 현장조사 근거로 안내문구 확정 (,이력
P004,FIX76,sourceDate,2024~2026 (주 조사 2026-06),2026-08 확인 (조사 시점은 verifyNote 참조),근거 확인 시점과 조사 시점 구분
P004,FIX76,correctionHistory, | FIX75: 현장조사 근거로 안내문구 확정 (자동 생성문 교체)," | FIX75: 현장조사 근거로 안내문구 확정 (자동 생성문 교체) | FIX76: 근거 연도 명시, 과잉 구체화 제거",이력
P778,FIX76,verifyNote,※ FIX68: P798 과 동일 장소(중복 노드). 대표는 P798 이며 이 노드는 추천 대상에서 제외함.,※ FIX68: P798 과 동일 장소(중복 노드). 대표는 P798 이며 이 노드는 추천 대상에서 제외함.,근거 확인 시점 명시
P798,FIX76,verifyNote,비짓제주 탐방 난이도 「아주 어려움」. 무장애 정상 접근로 미제시. 제주일보 현장 기록 — 정상 능선 폭 약,비짓제주 탐방 난이도 「아주 어려움」. 무장애 정상 접근로 미제시. 제주일보 현장 기록 — 정상 능선 폭 약,근거 확인 시점 명시
