placeId,fix,field,before,after,reason
P861,FIX37-A,name,제주올레길15-A코스,제주올레 15-A코스,명명 통일 — KG 내 다수파(20:7) 및 공식 고유명칭 '제주올레'
P878,FIX37-A,name,제주올레길10코스,제주올레 10코스,명명 통일 — KG 내 다수파(20:7) 및 공식 고유명칭 '제주올레'
P879,FIX37-A,name,제주올레길8코스,제주올레 8코스,명명 통일 — KG 내 다수파(20:7) 및 공식 고유명칭 '제주올레'
P880,FIX37-A,name,제주올레길18코스,제주올레 18코스,명명 통일 — KG 내 다수파(20:7) 및 공식 고유명칭 '제주올레'
P881,FIX37-A,name,제주올레길19코스,제주올레 19코스,명명 통일 — KG 내 다수파(20:7) 및 공식 고유명칭 '제주올레'
P882,FIX37-A,name,제주올레길7-1코스,제주올레 7-1코스,명명 통일 — KG 내 다수파(20:7) 및 공식 고유명칭 '제주올레'
P884,FIX37-A,name,제주올레길10-1코스,제주올레 10-1코스,명명 통일 — KG 내 다수파(20:7) 및 공식 고유명칭 '제주올레'
P884,FIX37-B,activityAccess,UNAVAILABLE,CONDITIONAL,가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
P884,FIX37-B,accessVerdictReason,시설접근 가능 / 활동참여 불가 — 올레 10-1(가파도) 4.2km 난이도 상 — 여객선 승선 + 전구간 도보,"시설접근 가능 / 활동참여 조건부 — 올레 10-1(가파도) 4.2km 난이도 하, 완만한 경사로 전 구간 휠체어 이용 가능. 제약은 코스가 아니라 여객선 승하선",가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
P884,FIX37-B,partialReason,[FIX28] 올레 10-1(가파도) 4.2km 난이도 상 — 여객선 승선 + 전구간 도보,[FIX37] 올레 10-1(가파도) 4.2km 난이도 하 (FIX28의 '난이도 상' 기재 오류 정정). 여객선 승하선 조건부,가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
P884,FIX37-B,mobilityCaveat,장애인화장실 미확인 — 장시간 체류 시 사전 확인 필요,"가파도행 여객선 승하선이 실제 제약입니다. 접이식 수동휠체어는 선적이 가능하나 전동휠체어는 선적이 불가한 것으로 안내되므로, 전동휠체어를 이용하시면 운항사에 반드시 사전 확인하시기 바랍니다(마라도가파도정기여객선 운진항). 섬 안 4.2km 순환 구간은 완만하고 포장·평탄한 구간이 많아 휠체어 통행이 가능하나 일부 노면이 고르지 않아 동행자 보조를 권장합니다. 장애인화장실은 미확인 상태입니다",가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
P884,FIX37-B,recommendForMobility,N,Y,가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
P884,FIX37-B,activityEvidence,(공백),제주올레 공식 코스정보 — 총 4.2km · 소요 1~2시간 · 난이도 하 · 완만한 경사로 전 구간 휠체어 이용 가능. 운진항 대합실 장애인 주차구역·화장실 및 휠체어 접근 통로 안내. 여객선 접이식 수동휠체어 선적 가능 / 전동휠체어 선적 불가 안내,가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
P884,FIX37-B,sourceCheckUrl,https://easyjeju.net,https://easyjeju.net · https://www.jejuolle.org/trail#/road/10_1 (공식 코스정보) · https://wonderfulis.co.kr (마라도가파도정기여객선),가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
P884,FIX37-B,verifyStatus,SURVEYED,PARTIAL,가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
P884,FIX37-B,verifyNote,(공백),"코스 난이도·경사는 제주올레 공식 정보로 확인(2026-08). 여객선 휠체어 선적 조건은 2차 안내자료 기준 — 운영사 공식 FAQ 원문 미확보, 유선 확인 권장",가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
P884,FIX37-B,correctionHistory,nan | FIX28: Activity 축 모순 해소,"nan | FIX28: Activity 축 모순 해소 | FIX37: 난이도 오기재 정정, UNAVAILABLE→CONDITIONAL",가파도 코스 난이도 하 확인 — 제약은 코스가 아닌 여객선 승하선
