placeId,fix,field,before,after,reason
P884,FIX49,wheelchairSection,상동포구~휠체어 올레길 종점,전 구간 (상동포구~가파치안센터),공식 휠체어 가능여부 박스 — 구간거리 4.2km / 상동포구 ~ 가파치안센터
P884,FIX49,wheelchairSectionDist,(공백),4.2km,공식 명시
P884,FIX49,wheelchairDifficulty,LOW,HIGH,공식 휠체어 난이도 ★★★ — 코스 난이도(하)와 별개 지표
P884,FIX49,wheelchairCaveat,종점 부근에 6~7도 오르막 55m 구간이 있습니다. 코스 전체(가파포구까지)를 이어서 가시기는 어렵습니다,공식 휠체어 난이도는 ★★★(상)입니다. 코스 자체는 전 구간 통행이 가능하나 여유 있게 일정을 잡아 주세요,휠체어 난이도가 코스 난이도와 다름
P884,FIX49,mobilityCaveat,올레 10-1코스는 상동포구에서 '휠체어 올레길 종점'까지 휠체어로 이동하실 수 있습니다. 종점 부근에 6~7도 오르막 55m,올레 10-1코스는 상동포구에서 가파치안센터까지 4.2km 전 구간을 휠체어로 이동하실 수 있습니다. 다만 공식 휠체어 난이도,공식 전 구간 복원
P884,FIX49,verifyNote,제주올레 공식 코스정보로 확인(2026-08) — 전 구간 휠체어 이용 가능. 제주올레 공식 휠체어 코스 10개 중 유일한 ',제주올레 공식 코스정보로 확인(2026-08) — 전 구간 휠체어 이용 가능. 제주올레 공식 휠체어 코스 10개 중 유일한 ',공식 원문 직접 확인
P884,FIX49,correctionHistory,"nan | FIX28: Activity 축 모순 해소 | FIX37: 난이도 오기재 정정, UNAVAILABLE→CONDITI","nan | FIX28: Activity 축 모순 해소 | FIX37: 난이도 오기재 정정, UNAVAILABLE→CONDITI",이력
P488,FIX49,wheelchairSectionDist,3.3km,2.3km,공식 휠체어 박스 — 2.3km / 쇠소깍 ~ 보목포구 (이지제주올레 2022.07은 3.3km)
P488,FIX49,mobilityCaveat,휠체어 이용 가능 구간은 '쇠소깍~보목포구' 3.3km 구간에 한합니다(구간 난이도 중). 경사 4-8도 오르막 다수. 430,휠체어 이용 가능 구간은 '쇠소깍~보목포구' 2.3km 구간에 한합니다(구간 난이도 중). 경사 4-8도 오르막 다수. 430,구간거리 정정
P488,FIX49,verifyNote,검증완료(2026-07) — 이지제주올레 휠체어 구간 조사 대조,검증완료(2026-07) — 이지제주올레 휠체어 구간 조사 대조 ※ FIX49: 제주올레 공식 「휠체어 가능여부」 박스 — 난,자료 불일치 기록
P488,FIX49,correctionHistory,nan | FIX24: 올레 휠체어 구간 실측 반영 | FIX41: 구간거리 2.6km→3.3km (원본 대조),nan | FIX24: 올레 휠체어 구간 실측 반영 | FIX41: 구간거리 2.6km→3.3km (원본 대조) | FIX49,이력
P319,FIX49,verifyNote,검증완료(2026-07) — 이지제주올레 휠체어 구간 조사 대조,검증완료(2026-07) — 이지제주올레 휠체어 구간 조사 대조 ※ FIX49: 제주올레 공식 「휠체어 가능여부」 박스와 일치,공식 대조 완료
